c1,c1lat,c1long,c2,c2lat,c2long,route,count,,Unique,ulat,ulong,suma,sumb,sum
Entebbe,0.060395527,32.46002356,Kuala Lumpur,3.166665872,101.6999833,Entebbe to Kuala Lumpur,3,,Guangzhou,23.1449813,113.3250101,0,11,11
Abuja,9.083333149,7.533328002,Dubai,25.22999615,55.27997432,Abuja to Dubai,3,,Harare,-17.81778969,31.04470943,11,0,11
Bangkok,13.74999921,100.5166447,Siem Reap,13.36663759,103.8500329,Bangkok to Siem Reap,3,,Johannesburg,-26.17004474,28.03000972,6,4,10
Nairobi,-1.283346742,36.81665686,Beijing,39.92889223,116.3882857,Nairobi to Beijing,3,,Abuja,9.083333149,7.533328002,9,1,10
Bangkok,13.74999921,100.5166447,Vientiane,17.96669273,102.59998,Bangkok to Vientiane,3,,Amsterdam,52.34996869,4.916640176,4,5,9
Addis Ababa,9.033310363,38.70000443,Nairobi,-1.283346742,36.81665686,Addis Ababa to Nairobi,2,,Singapore,1.293033466,103.8558207,2,6,8
Johannesburg,-26.17004474,28.03000972,Cape Town,-33.92001097,18.43498816,Johannesburg to Cape Town,2,,Lagos,6.443261653,3.391531071,5,3,8
Luanda,-8.838286114,13.23442704,Nairobi,-1.283346742,36.81665686,Luanda to Nairobi,2,,Seoul,37.5663491,126.999731,4,3,7
Nairobi,-1.283346742,36.81665686,Lubumbashi,-11.6800248,27.48001745,Nairobi to Lubumbashi,2,,Pretoria,-25.70692055,28.22942908,5,2,7
Nairobi,-1.283346742,36.81665686,Yaounde,3.866700662,11.51665076,Nairobi to Yaounde,2,,Istanbul,41.10499615,29.01000159,3,3,6
Nairobi,-1.283346742,36.81665686,Maputo,-25.95527749,32.58916296,Nairobi to Maputo,2,,Siem Reap,13.36663759,103.8500329,1,5,6
Abuja,9.083333149,7.533328002,Cairo,30.04996035,31.24996822,Abuja to Cairo,2,,Ho Chi Minh City,10.78002545,106.6950272,0,6,6
Harare,-17.81778969,31.04470943,Beijing,39.92889223,116.3882857,Harare to Beijing,2,,London,51.49999473,-0.116721844,2,3,5
Lagos,6.443261653,3.391531071,Doha,25.28655601,51.53296789,Lagos to Doha,2,,Lusaka,-15.41664427,28.28332759,4,1,5
